Commodity_Desc2,Marketing_Year,Timeperiod_Desc,Amount,Year
All wheat,1866/67,MY Jun-May,15.408,1866
All wheat,1866/67,MY Jun-May,2.06,1866
All wheat,1866/67,MY Jun-May,169.703,1866
All wheat,1866/67,MY Jun-May,11.0,1866
All wheat,1867/68,MY Jun-May,16.738,1867
All wheat,1867/68,MY Jun-May,2.01,1867
All wheat,1867/68,MY Jun-May,210.878,1867
All wheat,1867/68,MY Jun-May,12.6,1867
All wheat,1868/69,MY Jun-May,19.14,1868
All wheat,1868/69,MY Jun-May,1.46,1868
All wheat,1868/69,MY Jun-May,246.272,1868
All wheat,1868/69,MY Jun-May,12.9,1868
All wheat,1869/70,MY Jun-May,21.194,1869
All wheat,1869/70,MY Jun-May,0.923,1869
All wheat,1869/70,MY Jun-May,289.526,1869
All wheat,1869/70,MY Jun-May,13.7,1869
All wheat,1870/71,MY Jun-May,20.945,1870
All wheat,1870/71,MY Jun-May,1.04,1870
All wheat,1870/71,MY Jun-May,254.429,1870
All wheat,1870/71,MY Jun-May,12.1,1870
All wheat,1871/72,MY Jun-May,22.23,1871
All wheat,1871/72,MY Jun-May,1.25,1871
All wheat,1871/72,MY Jun-May,271.881,1871
All wheat,1871/72,MY Jun-May,12.2,1871
All wheat,1872/73,MY Jun-May,22.962,1872
All wheat,1872/73,MY Jun-May,1.24,1872
All wheat,1872/73,MY Jun-May,271.482,1872
All wheat,1872/73,MY Jun-May,11.8,1872
All wheat,1873/74,MY Jun-May,24.866,1873
All wheat,1873/74,MY Jun-May,1.17,1873
All wheat,1873/74,MY Jun-May,321.931,1873
All wheat,1873/74,MY Jun-May,12.9,1873
All wheat,1874/75,MY Jun-May,27.31,1874
All wheat,1874/75,MY Jun-May,0.948,1874
All wheat,1874/75,MY Jun-May,356.115,1874
All wheat,1874/75,MY Jun-May,13.0,1874
All wheat,1875/76,MY Jun-May,28.382,1875
All wheat,1875/76,MY Jun-May,1.01,1875
All wheat,1875/76,MY Jun-May,313.728,1875
All wheat,1875/76,MY Jun-May,11.1,1875
All wheat,1876/77,MY Jun-May,28.283,1876
All wheat,1876/77,MY Jun-May,1.04,1876
All wheat,1876/77,MY Jun-May,309.116,1876
All wheat,1876/77,MY Jun-May,10.9,1876
All wheat,1877/78,MY Jun-May,27.963,1877
All wheat,1877/78,MY Jun-May,1.09,1877
All wheat,1877/78,MY Jun-May,395.51,1877
All wheat,1877/78,MY Jun-May,14.1,1877
All wheat,1878/79,MY Jun-May,33.379,1878
All wheat,1878/79,MY Jun-May,0.772,1878
All wheat,1878/79,MY Jun-May,449.175,1878
All wheat,1878/79,MY Jun-May,13.5,1878
All wheat,1879/80,MY Jun-May,35.347,1879
All wheat,1879/80,MY Jun-May,1.11,1879
All wheat,1879/80,MY Jun-May,459.234,1879
All wheat,1879/80,MY Jun-May,13.0,1879
All wheat,1880/81,MY Jun-May,38.096,1880
All wheat,1880/81,MY Jun-May,0.952,1880
All wheat,1880/81,MY Jun-May,502.257,1880
All wheat,1880/81,MY Jun-May,13.2,1880
All wheat,1881/82,MY Jun-May,36.795,1881
All wheat,1881/82,MY Jun-May,1.2,1881
All wheat,1881/82,MY Jun-May,405.886,1881
All wheat,1881/82,MY Jun-May,11.0,1881
All wheat,1882/83,MY Jun-May,36.496,1882
All wheat,1882/83,MY Jun-May,0.888,1882
All wheat,1882/83,MY Jun-May,552.207,1882
All wheat,1882/83,MY Jun-May,15.1,1882
All wheat,1883/84,MY Jun-May,35.587,1883
All wheat,1883/84,MY Jun-May,0.914,1883
All wheat,1883/84,MY Jun-May,438.762,1883
All wheat,1883/84,MY Jun-May,12.3,1883
All wheat,1884/85,MY Jun-May,38.485,1884
All wheat,1884/85,MY Jun-May,0.645,1884
All wheat,1884/85,MY Jun-May,571.292,1884
All wheat,1884/85,MY Jun-May,14.8,1884
All wheat,1885/86,MY Jun-May,35.095,1885
All wheat,1885/86,MY Jun-May,0.772,1885
All wheat,1885/86,MY Jun-May,399.931,1885
All wheat,1885/86,MY Jun-May,11.4,1885
All wheat,1886/87,MY Jun-May,36.312,1886
All wheat,1886/87,MY Jun-May,0.687,1886
All wheat,1886/87,MY Jun-May,513.54,1886
All wheat,1886/87,MY Jun-May,14.1,1886
All wheat,1887/88,MY Jun-May,36.873,1887
All wheat,1887/88,MY Jun-May,0.682,1887
All wheat,1887/88,MY Jun-May,490.761,1887
All wheat,1887/88,MY Jun-May,13.3,1887
All wheat,1888/89,MY Jun-May,34.969,1888
