Date,Wheat_Amount,Urea_Price,Gas_Price,YearMonth
2019-07-01,544.6565452944706,249.63,2.37,2019-07
2019-08-01,544.6565452944706,253.1,2.22,2019-08
2019-09-01,544.6565452944706,251.0,2.56,2019-09
2019-10-01,544.6565452944706,235.74918032786886,2.33,2019-10
2019-11-01,544.6565452944706,219.99,2.65,2019-11
2019-12-01,544.6565452944706,207.5,2.22,2019-12
2020-01-01,515.0507308383529,218.5,2.02,2020-01
2020-02-01,515.0507308383529,232.88,1.91,2020-02
2020-03-01,515.0507308383529,254.5,1.79,2020-03
2020-04-01,515.0507308383529,239.0254098360656,1.74,2020-04
2020-05-01,515.0507308383529,224.05,1.75,2020-05
2020-06-01,515.0507308383529,193.63,1.63,2020-06
2020-07-01,515.0507308383529,206.8,1.76,2020-07
2020-08-01,515.0507308383529,238.0,2.3,2020-08
2020-09-01,515.0507308383529,226.13,1.92,2020-09
2020-10-01,515.0507308383529,216.8,2.39,2020-10
2020-11-01,515.0507308383529,232.38,2.61,2020-11
2020-12-01,515.0507308383529,245.19,2.58,2020-12
2021-01-01,445.90750537576474,309.0,2.71,2021-01
2021-02-01,445.90750537576474,341.5,5.35,2021-02
2021-03-01,445.90750537576474,378.5,2.62,2021-03
2021-04-01,445.90750537576474,374.4,2.66,2021-04
2021-05-01,445.90750537576474,373.5,2.91,2021-05
2021-06-01,445.90750537576474,433.63,3.26,2021-06
2021-07-01,445.90750537576474,429.3,3.84,2021-07
2021-08-01,445.90750537576474,420.38,4.07,2021-08
2021-09-01,445.90750537576474,520.5176229508196,5.16,2021-09
2021-10-01,445.90750537576474,617.425,5.51,2021-10
2021-11-01,445.90750537576474,787.0,5.05,2021-11
2021-12-01,445.90750537576474,769.25,3.76,2021-12
2022-01-01,430.21616109376475,602.5,4.38,2022-01
2022-02-01,430.21616109376475,576.5,4.69,2022-02
2022-03-01,430.21616109376475,680.0050847457627,4.9,2022-03
2022-04-01,430.21616109376475,794.6,6.6,2022-04
2022-05-01,430.21616109376475,624.38,8.14,2022-05
2022-06-01,430.21616109376475,564.4102459016393,7.7,2022-06
2022-07-01,430.21616109376475,506.375,7.28,2022-07
2022-08-01,430.21616109376475,585.75,8.81,2022-08
2022-09-01,430.21616109376475,651.7,7.88,2022-09
2022-10-01,430.21616109376475,590.63,5.66,2022-10
2022-11-01,430.21616109376475,521.0,5.45,2022-11
2022-12-01,430.21616109376475,464.63,5.53,2022-12
2023-01-01,445.6097535689412,401.0,3.27,2023-01
2023-02-01,445.6097535689412,325.25,2.38,2023-02
2023-03-01,445.6097535689412,312.5,2.31,2023-03
2023-04-01,445.6097535689412,362.5,2.16,2023-04
2023-05-01,445.6097535689412,372.5,2.15,2023-05
2023-06-01,445.6097535689412,309.0,2.18,2023-06
2023-07-01,445.6097535689412,342.5,2.55,2023-07
2023-08-01,445.6097535689412,364.52,2.58,2023-08
2023-09-01,445.6097535689412,386.53999999999996,2.64,2023-09
2023-10-01,445.6097535689412,370.25,2.98,2023-10
2023-11-01,445.6097535689412,342.9776229508197,2.71,2023-11
2023-12-01,445.6097535689412,316.58500000000004,2.52,2023-12
2024-01-01,494.02521630388236,319.0,3.18,2024-01
2024-02-01,494.02521630388236,344.39416666666665,1.72,2024-02
2024-03-01,494.02521630388236,368.15,1.49,2024-03
2024-04-01,494.02521630388236,333.14540983606554,1.6,2024-04
2024-05-01,494.02521630388236,299.27,2.12,2024-05
2024-06-01,494.02521630388236,303.38,2.54,2024-06
2024-07-01,494.02521630388236,304.60704918032786,2.07,2024-07
2024-08-01,494.02521630388236,305.875,1.99,2024-08
2024-09-01,494.02521630388236,310.9290163934426,2.28,2024-09
2024-10-01,494.02521630388236,315.82,2.2,2024-10
2024-11-01,494.02521630388236,319.38,2.12,2024-11
2024-12-01,494.02521630388236,323.24,3.01,2024-12
2025-01-01,450.9423304947222,359.89,4.13,2025-01
2025-02-01,450.9423304947222,397.68,4.19,2025-02
2025-03-01,450.9423304947222,388.8386440677966,4.12,2025-03
2025-04-01,450.9423304947222,379.05,3.42,2025-04
2025-05-01,450.9423304947222,436.18,3.12,2025-05
2025-06-01,450.9423304947222,410.1196721311475,3.02,2025-06
2025-07-01,450.9423304947222,384.9,3.2,2025-07
2025-08-01,450.9423304947222,409.5728571428572,2.91,2025-08
