"Exp Date",Symbol,"Contract Name",Last,"52W High","52W High Date","52W Low","52W Low Date","52W %Chg",Time
2019-07-25,JCN19,"Urea FOB US Gulf July 2019 Futures",249.63,261,2019-06-21,246.5,2019-07-01,-3.24%,2019-07-26
2019-08-29,JCQ19,"Urea FOB US Gulf August 2019 Futures",253.1,261,2019-07-30,253,2019-08-29,-1.13%,2019-08-30
2019-09-26,JCU19,"Urea FOB US Gulf September 2019 Futures",251,264.5,2019-07-30,249,2019-08-26,-2.33%,2019-09-27
2019-10-31,JCV19,"Urea FOB US Gulf October 2019 Futures",231.1,264.5,2019-07-30,231,2019-10-31,-9.55%,2019-11-01
2019-11-27,JCX19,"Urea FOB US Gulf November 2019 Futures",208.88,264,2019-07-30,208.88,2019-11-29,-18.72%,2019-11-29
2019-12-19,JCZ19,"Urea FOB US Gulf December 2019 Futures",207.5,264.5,2019-07-30,205,2019-12-18,-19.26%,2019-12-20
2020-01-30,JCF20,"Urea FOB US Gulf January 2020 Futures",218.5,262,2019-08-06,208.5,2019-12-02,-16.60%,2020-01-31
2020-02-27,JCG20,"Urea FOB US Gulf February 2020 Futures",232.88,262,2019-08-06,214.5,2019-12-02,-11.11%,2020-02-28
2020-03-26,JCH20,"Urea FOB US Gulf March 2020 Futures",254.5,271,2019-07-29,219,2019-12-02,-6.09%,2020-03-27
2020-04-30,JCJ20,"Urea FOB US Gulf April 2020 Futures",251.6,272,2019-07-30,222.5,2020-01-23,-7.16%,2020-05-01
2020-05-28,JCK20,"Urea FOB US Gulf May 2020 Futures",196.5,272,2019-07-30,196.5,2020-05-29,-27.49%,2020-05-29
2020-06-25,JCM20,"Urea FOB US Gulf June 2020 Futures",193.63,242.5,2020-02-06,183.5,2020-05-20,-17.95%,2020-06-26
2020-07-30,JCN20,"Urea FOB US Gulf July 2020 Futures",206.8,217,2020-04-08,187,2020-05-19,-3.81%,2020-07-31
2020-08-27,JCQ20,"Urea FOB US Gulf August 2020 Futures",238,250,2020-08-06,188.5,2020-05-07,+10.70%,2020-08-28
2020-09-24,JCU20,"Urea FOB US Gulf September 2020 Futures",226.13,255.5,2020-08-06,190.5,2020-05-27,-1.68%,2020-09-25
2020-10-29,JCV20,"Urea FOB US Gulf October 2020 Futures",216.8,255,2020-08-04,201,2020-05-06,-10.60%,2020-10-30
2020-11-25,JCX20,"Urea FOB US Gulf November 2020 Futures",232.38,250,2020-08-04,195,2020-05-20,-4.17%,2020-11-27
2020-12-24,JCZ20,"Urea FOB US Gulf December 2020 Futures",245.19,251.5,2020-12-02,195,2020-05-20,-0.93%,2020-12-24
2021-01-28,JCF21,"Urea FOB US Gulf January 2021 Futures",309,309,2021-01-29,207,2020-05-27,+34.35%,2021-01-29
2021-02-25,JCG21,"Urea FOB US Gulf February 2021 Futures",341.5,367.5,2021-01-28,207,2020-05-27,+48.48%,2021-02-26
2021-03-25,JCH21,"Urea FOB US Gulf March 2021 Futures",378.5,384.5,2021-03-09,209,2020-05-27,+64.57%,2021-03-26
2021-04-29,JCJ21,"Urea FOB US Gulf April 2021 Futures",374.4,385,2021-03-09,215,2020-06-23,+74.14%,2021-04-30
2021-05-27,JCK21,"Urea FOB US Gulf May 2021 Futures",373.5,374.5,2021-04-27,234,2020-10-15,+59.62%,2021-05-28
2021-06-24,JCM21,"Urea FOB US Gulf June 2021 Futures",433.63,436.5,2021-06-08,232.5,2020-11-06,+84.52%,2021-06-25
2021-07-29,JCN21,"Urea FOB US Gulf July 2021 Futures",429.3,441,2021-06-07,285,2021-04-15,+45.53%,2021-07-30
2021-08-26,JCQ21,"Urea FOB US Gulf August 2021 Futures",420.38,444,2021-07-07,282.5,2021-04-15,+44.96%,2021-08-27
2021-10-01,JCU21,"Urea FOB US Gulf September 2021 Futures",538.6,538.6,2021-10-01,282.5,2021-04-19,+81.04%,2021-10-01
2021-10-29,JCV21,"Urea FOB US Gulf October 2021 Futures",696.25,714,2021-10-13,282.5,2021-04-14,+134.03%,2021-10-29
2021-11-26,JCX21,"Urea FOB US Gulf November 2021 Futures",787,787,2021-11-26,282.5,2021-04-14,+164.54%,2021-11-26
2021-12-23,JCZ21,"Urea FOB US Gulf December 2021 Futures",769.25,833.5,2021-11-15,282.5,2021-04-14,+158.57%,2021-12-23
2022-01-28,JCF22,"Urea FOB US Gulf January 2022 Futures",602.5,840,2021-11-08,422.5,2021-08-04,+42.60%,2022-01-28
2022-02-25,JCG22,"Urea FOB US Gulf February 2022 Futures",576.5,840.5,2021-11-09,422.5,2021-08-04,+36.45%,2022-02-25
2022-04-01,JCH22,"Urea FOB US Gulf March 2022 Futures",836.7,842.5,2021-11-09,422.5,2021-08-04,+98.04%,2022-04-01
2022-04-29,JCJ22,"Urea FOB US Gulf April 2022 Futures",752.5,957.5,2022-03-25,513,2022-02-07,+27.54%,2022-04-29
2022-05-27,JCK22,"Urea FOB US Gulf May 2022 Futures",624.38,945,2022-03-25,492.5,2022-02-07,+0.30%,2022-05-27
2022-07-01,JCM22,"Urea FOB US Gulf June 2022 Futures",495.5,885,2022-03-28,430,2022-02-07,-30.46%,2022-07-01
2022-07-29,JCN22,"Urea FOB US Gulf July 2022 Futures",517.25,865,2022-03-28,395,2022-02-07,-23.37%,2022-07-29
