Date,Corn,Natural_Gas,Oil,Wheat,DXY
2021-01-03,496.25,2.7,52.24,638.5,
2021-01-10,531.5,2.737,52.36,675.0,
2021-01-17,500.5,2.446,52.27,635.0,
2021-01-24,547.0,2.564,52.2,662.5,
2021-01-31,548.5,2.863,56.85,641.38,
2021-02-07,538.75,2.912,59.47,637.75,
2021-02-14,542.75,3.069,59.24,653.12,
2021-02-21,555.5,2.771,61.5,659.6,
2021-02-28,562.0,2.701,66.09,655.0,
2021-03-07,549.25,2.6,65.61,638.1,
2021-03-14,557.75,2.535,61.42,626.8,
2021-03-21,552.5,2.557,60.97,614.9,
2021-03-28,559.75,2.639,61.45,608.4,
2021-04-04,577.25,2.526,59.32,638.8,
2021-04-11,585.5,2.68,63.13,652.8,
2021-04-18,655.5,2.73,62.14,712.8,
2021-04-25,740.0,2.931,63.58,735.3,
2021-05-02,772.75,2.958,64.9,763.0,
2021-05-09,685.0,2.961,65.37,707.9,
2021-05-16,659.5,2.906,63.58,672.5,
2021-05-23,656.75,2.986,66.32,664.0,
2021-05-30,682.75,3.097,69.62,684.9,
2021-06-06,684.5,3.296,70.91,680.6,
2021-06-13,655.25,3.215,71.64,661.9,
2021-06-20,636.5,3.496,74.05,634.8,
2021-06-27,697.25,3.7,75.16,651.25,
2021-07-04,629.75,3.674,74.56,614.5,
2021-07-11,556.0,3.674,71.81,693.9,
2021-07-18,547.25,4.06,72.07,679.4,
2021-07-25,547.0,3.914,73.95,703.5,
2021-08-01,555.0,4.14,68.28,720.0,
2021-08-08,568.25,3.861,68.44,762.0,
2021-08-15,538.75,3.851,62.32,715.0,
2021-08-22,558.0,4.37,68.74,718.9,
2021-08-29,508.0,4.712,69.29,726.6,
2021-09-05,502.75,4.938,69.72,688.4,
2021-09-12,527.25,5.105,71.97,707.1,
2021-09-19,526.75,5.14,73.98,723.1,
2021-09-26,541.5,5.619,75.88,757.9,
2021-10-03,530.5,5.565,79.35,733.3,
2021-10-10,525.75,5.41,82.28,733.8,
2021-10-17,538.0,5.28,83.76,757.9,
2021-10-24,568.25,5.426,83.57,772.75,
2021-10-31,553.0,5.516,81.27,766.5,
2021-11-07,577.25,4.791,80.79,817.0,
2021-11-14,570.75,5.065,76.1,823.0,
2021-11-21,586.75,5.447,68.15,825.5,
2021-11-28,586.0,4.132,66.26,794.5,
2021-12-05,588.5,3.925,71.67,782.0,
2021-12-12,593.25,3.69,70.86,775.0,
2021-12-19,605.75,3.731,73.79,814.75,
2021-12-26,593.25,3.73,75.21,770.75,
2022-01-02,606.75,3.916,78.9,758.5,
2022-01-09,596.25,4.262,83.82,741.5,
2022-01-16,616.25,3.999,85.14,780.0,
2022-01-23,636.0,4.639,86.82,786.25,
2022-01-30,620.5,4.572,92.31,763.25,
